Grade,Rolling Cum GPA,Term 1,Term 2
7,2.643,2.857,2.286
6,,3.857,3.714
7,3.714,4,3.714
8,2.723,2.857,2.429
6,,2.571,2.714
8,3.54,3.857,3.857
8,3.44,3.286,3.143
6,,3.714,3.714
6,,1.857,1.429
6,,2.714,2.429
6,,2.429,2.143
8,2.646,2.714,2.571
6,,2.714,2.571
7,3.8,4,3.857
8,1.51,2,1.714
7,2.286,2.571,3
7,3.235,3.286,3
8,2.104,2.429,2.286
7,2.314,2,2.571
7,3.2,3.143,2.857
8,2.617,2.714,2.571
7,2.914,2.714,2.857
8,2.771,2.571,2.571
8,3.255,3.571,3
6,,,
6,,3.857,3.714
8,3.321,3.714,3.429
6,,3.429,3.143
7,3.147,3.143,2.714
7,3.8,3.857,3.857
6,,3.571,3
7,3.257,3.571,3.143
8,2.605,3.286,3.286
8,3.224,3.143,3.571
7,2.429,2.286,1.857
8,2.213,2.143,1.857
7,2.333,3,2
7,3.429,3.286,3.286
6,,3.571,3.429
7,1.765,2.143,1.143
7,3.686,3.571,3.857
6,,3.429,3.571
7,1.5,1.429,1.429
6,,2.857,2.714
6,,2.429,2.286
6,,3.714,3.714
7,3.147,3.286,2.714
6,,2.429,2
7,3.971,3.857,4
8,2.579,2.857,2.333
6,,3,2.857
7,2.2,2.143,2.143
6,,3.143,2.857
8,1.786,1.429,1.714
8,2.255,2.429,2.714
8,2.375,2.286,2.143
7,,2.571,1.857
7,2.4,3.286,2.143
7,2.314,2.429,2
7,3,3,3.429
8,3.755,3.714,3.714
6,,3.571,3.286
6,,3.429,3.857
7,3.824,3.714,4
6,,4,3.571
8,2.898,3.714,3.286
6,,3.857,3.714
8,3.735,3.571,3.714
7,3.382,3.429,2.857
6,,3.571,3.286
8,3.146,3,2.286
7,2.088,2.143,2.143
8,1.85,,
8,3.625,4,3.571
6,,3.857,3.875
6,,2.571,2
8,,2.571,2.429
6,,2.857,2.857
7,3.2,3.429,3.143
8,2.857,2.857,2.857
8,3,3.286,
6,,2.857,2.286
8,1.935,2.571,2.143
8,2.937,3.286,3
6,,4,4
7,2.429,1.857,2
6,,3.857,4
8,,,
7,0.714,,
6,,,
7,3.4,4,
6,,3.571,3.286
8,2.786,3,2.571
8,2.347,1.571,1.571
7,3.029,3.714,2.857
8,2.562,2.714,2
6,,3.714,3.714
8,2.343,2.429,
8,3.531,3.429,3.429
8,2.8,3.143,2.857
8,1.532,1.429,1.143
7,2.057,2,2.143
7,3.057,2.857,3.429
7,2.694,3,2.75
8,3.146,3.571,3.857
